date,base market,base side,base price,base size,quote market,quote side,quote price,quote size
2023-03-01T17:36:53.370219,ATOM-USD,SELL,12.844,19.5,BCH-USD,BUY,133.9,1.87
2023-03-01T17:38:09.526453,CELO-USD,SELL,0.775,300,MATIC-USD,BUY,1.2261,203
2023-03-01T17:38:51.151504,ENJ-USD,BUY,0.474,527,SUSHI-USD,SELL,1.337,100.0
2023-03-01T17:39:39.909626,FIL-USD,SELL,7.1,35.2,EOS-USD,BUY,1.195,200
2023-03-01T17:40:51.729328,NEAR-USD,BUY,2.3,108.7,UNI-USD,SELL,6.821,36.7
2023-03-01T17:41:38.251393,ALGO-USD,SELL,0.252,900,AVAX-USD,BUY,17.59,14.2
2023-03-01T17:42:33.246767,ADA-USD,BUY,0.361,692,ETH-USD,SELL,1658.6,0.151
2023-03-01T17:45:16.906962,COMP-USD,SELL,51.0,4.90,SOL-USD,BUY,22.487,11.1
2023-03-01T20:00:17.963268,ADA-USD,BUY,0.355,704,ETH-USD,SELL,1633.8,0.153
2023-03-01T22:26:49.971258,DOGE-USD,SELL,0.0821,3000,1INCH-USD,BUY,0.585,400
2023-03-01T23:04:55.116023,ALGO-USD,BUY,0.25,1000,AVAX-USD,SELL,17.67,14.1
